line_index,ticks_to_next_line,pixels_in_line
0,958,47
1,951,47
2,959,47
3,950,47
4,959,47
5,951,47
6,958,47
7,951,47
8,959,47
9,950,47
10,959,47
11,951,47
12,958,47
13,951,47
14,959,47
15,950,47
16,959,47
17,951,47
18,958,47
19,951,47
20,959,47
21,950,47
22,959,47
23,951,47
24,958,47
25,951,47
26,959,47
27,950,47
28,959,47
29,951,47
30,958,47
31,951,47
32,959,47
33,950,47
34,959,47
35,951,47
36,958,47
37,951,47
38,959,47
39,950,47
40,959,47
41,951,47
42,958,47
43,951,47
44,959,47
45,950,47
46,959,47
47,951,47
48,958,47
49,951,47
50,959,47
51,950,47
52,959,47
53,951,47
54,958,47
55,951,47
56,959,47
57,950,47
58,959,47
59,951,47
60,958,47
61,951,47
