Sample_Index,Time_s,X_Voltage,Y_Voltage,Laser_Raw,Pixel_Clock,Line_Clock,Frame_Clock,Line_Number,Pixel_In_Line
0,0.000000000,0.845520000,1.665840000,0.000000000,0,0,0,-1,-1
1,0.000001000,0.842112000,1.666560000,0.000000000,0,0,0,-1,-1
2,0.000002000,0.838704000,1.667400000,0.000000000,0,0,0,-1,-1
3,0.000003000,0.835296000,1.668120000,0.000000000,0,0,0,-1,-1
4,0.000004000,0.831888000,1.668960000,0.000000000,0,0,0,-1,-1
5,0.000005000,0.828468000,1.669680000,0.000000000,0,0,0,-1,-1
6,0.000006000,0.825048000,1.670520000,0.000000000,0,0,0,-1,-1
7,0.000007000,0.821616000,1.671240000,0.000000000,0,0,0,-1,-1
8,0.000008000,0.818196000,1.672080000,0.000000000,0,0,0,-1,-1
9,0.000009000,0.814764000,1.672800000,0.000000000,0,0,0,-1,-1
10,0.000010000,0.811332000,1.673640000,0.000000000,0,0,0,-1,-1
11,0.000011000,0.807888000,1.674360000,0.000000000,0,0,0,-1,-1
12,0.000012000,0.804456000,1.675200000,0.000000000,0,0,0,-1,-1
13,0.000013000,0.801012000,1.675920000,0.000000000,0,0,0,-1,-1
14,0.000014000,0.797568000,1.676760000,0.000000000,0,0,0,-1,-1
15,0.000015000,0.794112000,1.677480000,0.000000000,0,0,0,-1,-1
16,0.000016000,0.790656000,1.678320000,0.000000000,0,0,0,-1,-1
17,0.000017000,0.787200000,1.679040000,0.000000000,0,0,0,-1,-1
18,0.000018000,0.783744000,1.679880000,0.000000000,0,0,0,-1,-1
19,0.000019000,0.780288000,1.680600000,0.000000000,0,0,0,-1,-1
20,0.000020000,0.776820000,1.681440000,0.000000000,0,0,0,-1,-1
21,0.000021000,0.773352000,1.682280000,0.000000000,0,0,0,-1,-1
22,0.000022000,0.769872000,1.683000000,0.000000000,0,0,0,-1,-1
23,0.000023000,0.766404000,1.683840000,0.000000000,0,0,0,-1,-1
24,0.000024000,0.762924000,1.684560000,0.000000000,0,0,0,-1,-1
25,0.000025000,0.759444000,1.685400000,0.000000000,0,0,0,-1,-1
26,0.000026000,0.755952000,1.686240000,0.000000000,0,0,0,-1,-1
27,0.000027000,0.752460000,1.686960000,0.000000000,0,0,0,-1,-1
28,0.000028000,0.748980000,1.687800000,0.000000000,0,0,0,-1,-1
29,0.000029000,0.745476000,1.688520000,0.000000000,0,0,0,-1,-1
30,0.000030000,0.741984000,1.689360000,0.000000000,0,0,0,-1,-1
31,0.000031000,0.738480000,1.690200000,0.000000000,0,0,0,-1,-1
32,0.000032000,0.734976000,1.690920000,0.000000000,0,0,0,-1,-1
33,0.000033000,0.731460000,1.691760000,0.000000000,0,0,0,-1,-1
34,0.000034000,0.727956000,1.692600000,0.000000000,0,0,0,-1,-1
35,0.000035000,0.724440000,1.693320000,0.000000000,0,0,0,-1,-1
36,0.000036000,0.720924000,1.694160000,0.000000000,0,0,0,-1,-1
37,0.000037000,0.717396000,1.695000000,0.000000000,0,0,0,-1,-1
38,0.000038000,0.713868000,1.695720000,0.000000000,0,0,0,-1,-1
39,0.000039000,0.710340000,1.696560000,0.000000000,0,0,0,-1,-1
40,0.000040000,0.706812000,1.697400000,0.000000000,0,0,0,-1,-1
41,0.000041000,0.703284000,1.698120000,0.000000000,0,0,0,-1,-1
42,0.000042000,0.699744000,1.698960000,0.000000000,0,0,0,-1,-1
43,0.000043000,0.696192000,1.699800000,0.000000000,0,0,0,-1,-1
44,0.000044000,0.692652000,1.700640000,0.000000000,0,0,0,-1,-1
45,0.000045000,0.689100000,1.701360000,0.000000000,0,0,0,-1,-1
46,0.000046000,0.685548000,1.702200000,0.000000000,0,0,0,-1,-1
47,0.000047000,0.681996000,1.703040000,0.000000000,0,0,0,-1,-1
48,0.000048000,0.678444000,1.703760000,0.000000000,0,0,0,-1,-1
49,0.000049000,0.674880000,1.704600000,0.000000000,0,0,0,-1,-1
50,0.000050000,0.671316000,1.705440000,0.000000000,0,0,0,-1,-1
51,0.000051000,0.667740000,1.706280000,0.000000000,0,0,0,-1,-1
52,0.000052000,0.664176000,1.707000000,0.000000000,0,0,0,-1,-1
53,0.000053000,0.660600000,1.707840000,0.000000000,0,0,0,-1,-1
54,0.000054000,0.657012000,1.708680000,0.000000000,0,0,0,-1,-1
55,0.000055000,0.653436000,1.709520000,0.000000000,0,0,0,-1,-1
56,0.000056000,0.649848000,1.710360000,0.000000000,0,0,0,-1,-1
57,0.000057000,0.646260000,1.711080000,0.000000000,0,0,0,-1,-1
58,0.000058000,0.642660000,1.711920000,0.000000000,0,0,0,-1,-1
59,0.000059000,0.639072000,1.712760000,0.000000000,0,0,0,-1,-1
60,0.000060000,0.635472000,1.713600000,0.000000000,0,0,0,-1,-1
61,0.000061000,0.631872000,1.714440000,0.000000000,0,0,0,-1,-1
62,0.000062000,0.628260000,1.715280000,0.000000000,0,0,0,-1,-1
63,0.000063000,0.624648000,1.716000000,0.000000000,0,0,0,-1,-1
64,0.000064000,0.621036000,1.716840000,0.000000000,0,0,0,-1,-1
65,0.000065000,0.617424000,1.717680000,0.000000000,0,0,0,-1,-1
66,0.000066000,0.613800000,1.718520000,0.000000000,0,0,0,-1,-1
