line_index,ticks_to_next_line,pixels_in_line
0,30,1
1,30,1
2,30,1
3,30,1
4,30,1
5,30,1
6,30,1
7,30,1
8,30,1
9,30,1
10,30,1
11,30,1
12,30,1
13,30,1
14,30,1
15,44,1
16,29,1
17,29,1
18,29,1
19,29,1
20,29,1
21,29,1
22,29,1
23,29,1
24,29,1
25,29,1
26,29,1
27,29,1
28,29,1
29,29,1
30,29,1
31,59,1
32,28,1
33,28,1
34,28,1
35,28,1
36,28,1
37,28,1
38,28,1
39,28,1
40,28,1
41,28,1
42,28,1
43,28,1
44,28,1
45,28,1
46,28,1
47,74,1
48,27,1
49,27,1
50,27,1
51,27,1
52,27,1
53,27,1
54,27,1
55,27,1
56,27,1
57,27,1
58,27,1
59,27,1
60,27,1
61,27,1
62,27,1
63,89,1
64,26,1
65,26,1
66,26,1
67,26,1
68,26,1
69,26,1
70,26,1
71,26,1
72,26,1
73,26,1
74,26,1
75,26,1
76,26,1
77,26,1
78,26,1
79,104,1
80,25,1
81,25,1
82,25,1
83,25,1
84,25,1
85,25,1
86,25,1
87,25,1
88,25,1
89,25,1
90,25,1
91,25,1
92,25,1
93,25,1
94,25,1
95,119,1
96,24,1
97,24,1
98,24,1
99,24,1
100,24,1
101,24,1
102,24,1
103,24,1
104,24,1
105,24,1
106,24,1
107,24,1
108,24,1
109,24,1
110,24,1
111,134,1
112,23,1
113,23,1
114,23,1
115,23,1
116,23,1
117,23,1
118,23,1
119,23,1
120,23,1
121,23,1
122,23,1
123,23,1
124,23,1
125,23,1
126,23,1
127,149,1
128,22,1
129,22,1
130,22,1
131,22,1
132,22,1
133,22,1
134,22,1
135,22,1
136,22,1
137,22,1
138,22,1
139,22,1
140,22,1
141,22,1
142,22,1
143,164,1
144,21,1
145,21,1
146,21,1
147,21,1
148,21,1
149,21,1
150,21,1
151,21,1
152,21,1
153,21,1
154,21,1
155,21,1
156,21,1
157,21,1
158,21,1
159,177,1
160,20,1
161,20,1
162,20,1
163,20,1
164,20,1
165,20,1
166,20,1
167,20,1
168,20,1
169,20,1
170,20,1
171,20,1
172,20,1
173,20,1
174,20,1
175,194,1
176,19,1
177,19,1
178,19,1
179,19,1
180,19,1
181,19,1
182,19,1
183,19,1
184,19,1
185,19,1
186,19,1
187,19,1
188,19,1
189,19,1
190,19,1
191,209,1
192,18,1
193,18,1
194,18,1
195,18,1
196,18,1
197,18,1
198,18,1
199,18,1
200,18,1
201,18,1
202,18,1
203,18,1
204,18,1
205,18,1
206,18,1
207,224,1
208,17,1
209,17,1
210,17,1
211,17,1
212,17,1
213,17,1
214,17,1
215,17,1
216,17,1
217,17,1
218,17,1
219,17,1
220,17,1
221,17,1
222,17,1
223,239,1
224,16,1
225,16,1
226,16,1
227,16,1
228,16,1
229,16,1
230,16,1
231,16,1
232,16,1
233,16,1
234,16,1
235,16,1
236,16,1
237,16,1
238,16,1
239,254,1
